Event_ID,Incident_ID,Incident_Type,Severity,Priority,Sync_Status,Timestamp
EDGE-ROAD_pothole_31_438,ROAD_pothole_31_438,ROAD_DAMAGE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-PEDESTRIAN_24_26_508,PEDESTRIAN_24_26_508,PEDESTRIAN_RISK,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-ROAD_pothole_5_33,ROAD_pothole_5_33,ROAD_DAMAGE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-POT_23,POT_23,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-ROAD_pothole_18_210,ROAD_pothole_18_210,ROAD_DAMAGE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-POT_63,POT_63,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-POT_3,POT_3,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-POT_14,POT_14,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-POT_25,POT_25,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-POT_64,POT_64,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-POT_13,POT_13,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-PEDESTRIAN_7_11_180,PEDESTRIAN_7_11_180,PEDESTRIAN_RISK,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-ROAD_transverse_crack_0_56,ROAD_transverse_crack_0_56,ROAD_DAMAGE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-ROAD_pothole_27_431,ROAD_pothole_27_431,ROAD_DAMAGE,MEDIUM,3,SYNCED,2026-09-12 19:18:53
EDGE-PEDESTRIAN_14_12_274,PEDESTRIAN_14_12_274,PEDESTRIAN_RISK,MEDIUM,3,SYNCED,2026-09-12 19:18:53
EDGE-POT_27,POT_27,POTHOLE,LOW,4,SYNCED,2026-09-12 19:18:53
EDGE-ROAD_pothole_1_19,ROAD_pothole_1_19,ROAD_DAMAGE,LOW,4,SYNCED,2026-09-12 19:18:53
EDGE-ROAD_transverse_crack_1_55,ROAD_transverse_crack_1_55,ROAD_DAMAGE,LOW,4,SYNCED,2026-09-12 19:18:53
EDGE-ROAD_pothole_3_25,ROAD_pothole_3_25,ROAD_DAMAGE,LOW,4,SYNCED,2026-09-12 19:18:53
EDGE-POT_22,POT_22,POTHOLE,LOW,4,SYNCED,2026-09-12 19:18:53
EDGE-ROAD_pothole_2_20,ROAD_pothole_2_20,ROAD_DAMAGE,LOW,4,SYNCED,2026-09-12 19:18:53
